YEAR,TOTAL_TRANSACTIONS,AVG_PRICE,MEDIAN_PRICE,TOTAL_VOLUME_GBP,MILLION_PLUS_TRANSACTIONS,SUPER_PRIME_TRANSACTIONS,CENTRAL_LONDON_TRANSACTIONS,ACTIVE_BOROUGHS,ACTIVE_POSTCODES,PREV_YEAR_TRANSACTIONS,PREV_YEAR_MEDIAN,VOLUME_YOY_CHANGE_PCT,MEDIAN_PRICE_YOY_CHANGE_PCT
2021,85051,952342,550000,80997666566,15105,1181,26899,27,170,,,,
2022,75217,1003491,575000,75479585197,15464,1285,24998,27,171,85051,550000,-11.56,4.55
2023,59559,1013639,570000,60371351891,12473,1070,21640,27,173,75217,575000,-20.82,-0.87
2024,65964,959923,565000,63320347156,13272,1025,23625,27,172,59559,570000,10.75,-0.88
