BOROUGH,PROPERTY_TYPE_NAME,PROPERTY_CATEGORY,TOTAL_TRANSACTIONS,AVG_PRICE_OVERALL,MEDIAN_PRICE_OVERALL,AVG_PRICE_2021,AVG_PRICE_2024,FOUR_YEAR_GROWTH_PCT,TRANSACTIONS_2021,TRANSACTIONS_2024
Kensington and Chelsea,Other,Other,884,3348278,1000000,3143258,3250660,3.42,205,231
Kensington and Chelsea,Semi-Detached,House,141,9990582,7700000,8683847,8286190,-4.58,42,21
Kensington and Chelsea,Detached,House,55,10150160,5726000,14350979,8063470,-43.81,12,16
Lambeth,Detached,House,238,1529422,1150000,1416678,1698869,19.92,74,56
Lambeth,Semi-Detached,House,1068,1129948,915000,1061323,1189965,12.12,336,245
Lambeth,Flat,Apartment,12953,565136,477000,498736,550175,10.31,3540,3028
Lambeth,Terraced,House,4068,897437,780500,875959,887279,1.29,1301,946
Lambeth,Other,Other,924,1640960,397500,1550386,1529583,-1.34,278,192
Lewisham,Semi-Detached,House,1330,784591,717750,734277,818577,11.48,383,306
Lewisham,Terraced,House,4541,673119,625000,637464,673769,5.70,1482,1018
Lewisham,Flat,Apartment,8735,376167,365000,369500,377296,2.11,2590,2008
Lewisham,Detached,House,299,1027416,907500,1007455,973048,-3.42,94,63
Lewisham,Other,Other,723,1502328,415000,1949143,1354949,-30.48,209,177
Merton,Terraced,House,2469,909218,850000,858686,937865,9.22,814,545
Merton,Detached,House,420,3123790,2525000,2899975,2934577,1.19,143,85
Merton,Semi-Detached,House,832,1279197,1050000,1280852,1241082,-3.10,263,188
Merton,Flat,Apartment,3699,484273,437500,501823,468910,-6.56,1072,879
Merton,Other,Other,402,2198027,492500,2600555,2026398,-22.08,136,86
Newham,Detached,House,60,773369,615000,614848,837192,36.16,21,13
Newham,Flat,Apartment,7102,418434,390000,399773,467607,16.97,2031,1701
Newham,Semi-Detached,House,296,566765,497500,551993,581160,5.28,84,72
Newham,Terraced,House,4770,488342,450000,473812,494839,4.44,1529,1095
Newham,Other,Other,646,2783694,420000,3718022,884954,-76.20,191,143
Redbridge,Other,Other,67,906268,425000,705469,1591090,125.54,16,18
Redbridge,Semi-Detached,House,213,905173,885000,862702,963498,11.68,73,53
Redbridge,Terraced,House,361,720090,700000,691683,767237,10.92,131,78
Redbridge,Flat,Apartment,639,364987,360000,370935,370677,-0.07,179,164
Richmond upon Thames,Other,Other,124,981524,457500,742856,852109,14.71,46,28
Richmond upon Thames,Flat,Apartment,726,636657,544000,592689,653389,10.24,201,187
Richmond upon Thames,Terraced,House,915,1279395,1150000,1244041,1337007,7.47,283,223
Richmond upon Thames,Semi-Detached,House,426,1978089,1725000,2058551,1964329,-4.58,140,88
Richmond upon Thames,Detached,House,125,2991101,2385000,3158750,2747596,-13.02,40,26
Southwark,Semi-Detached,House,591,1338082,1202500,1216199,1448171,19.07,175,159
Southwark,Terraced,House,2835,927962,865000,920854,946360,2.77,859,664
Southwark,Detached,House,187,1905693,1500000,1857296,1752311,-5.65,52,42
Southwark,Flat,Apartment,11528,578736,480000,605998,557719,-7.97,3342,2843
Southwark,Other,Other,940,3327226,585000,4171634,2925415,-29.87,277,204
Tower Hamlets,Terraced,House,1164,862147,800000,853143,877126,2.81,357,253
Tower Hamlets,Semi-Detached,House,54,906846,834750,911281,916167,0.54,16,15
Tower Hamlets,Flat,Apartment,16118,582877,500000,604917,544110,-10.05,5527,3141
Tower Hamlets,Other,Other,760,5234081,625000,8177649,6865971,-16.04,206,175
Waltham Forest,Semi-Detached,House,1345,724575,660000,684632,751061,9.70,437,283
Waltham Forest,Terraced,House,6033,639610,615000,606517,659387,8.72,2001,1412
Waltham Forest,Flat,Apartment,6671,383817,385000,370778,383190,3.35,1998,1494
Waltham Forest,Detached,House,229,1084704,868500,1115260,1058253,-5.11,71,47
Waltham Forest,Other,Other,751,988011,343000,880128,808683,-8.12,237,174
Wandsworth,Semi-Detached,House,958,1610535,1400000,1516730,1638016,8.00,286,223
Wandsworth,Flat,Apartment,16439,669971,565000,602693,646990,7.35,4712,3673
Wandsworth,Terraced,House,6220,1132104,1050000,1085835,1134369,4.47,1960,1412
Wandsworth,Detached,House,300,2687148,2225000,3004280,2381984,-20.71,108,62
Wandsworth,Other,Other,1048,1659056,495000,2187864,1450343,-33.71,275,222
Westminster,Semi-Detached,House,113,6225875,5000000,5808451,6776090,16.66,33,32
Westminster,Flat,Apartment,11331,1714656,920000,1478198,1637443,10.77,2964,2534
Westminster,Detached,House,99,9537715,6589826,8171261,8949775,9.53,28,27
Westminster,Terraced,House,1233,3978052,2750000,3578669,3773353,5.44,336,309
Westminster,Other,Other,1737,9962938,1900000,11783150,8471603,-28.10,446,463
