BOROUGH,IS_CENTRAL_LONDON,LONDON_REGION,YEAR,TRANSACTIONS,AVG_PRICE,MEDIAN_PRICE,PREV_AVG_PRICE,PREV_MEDIAN_PRICE,YOY_AVG_CHANGE_GBP,YOY_MEDIAN_CHANGE_GBP,YOY_AVG_CHANGE_PCT,YOY_MEDIAN_CHANGE_PCT,YOY_VOLUME_CHANGE_PCT
Lewisham,FALSE,South East London,2022,4232,591860,460000,564318,450000,27542,10000,4.88,2.22,-11.06
Merton,FALSE,South West London,2022,2039,978583,640000,964646,650000,13937,-10000,1.44,-1.54,-16.02
Newham,FALSE,East London,2022,3390,594546,435000,597982,420000,-3436,15000,-0.57,3.57,-12.09
Redbridge,FALSE,East London,2022,329,596879,470000,593418,525000,3461,-55000,0.58,-10.48,-19.56
Richmond upon Thames,FALSE,South West London,2022,593,1341325,1105000,1295651,1042500,45674,62500,3.53,6.00,-16.48
Southwark,TRUE,South East London,2022,4121,866760,552000,909929,550000,-43169,2000,-4.74,0.36,-12.41
Tower Hamlets,FALSE,East London,2022,5102,704169,516743,875755,556000,-171586,-39257,-19.59,-7.06,-16.46
Waltham Forest,FALSE,East London,2022,3794,565197,499995,535711,478000,29486,21995,5.50,4.60,-20.03
Wandsworth,FALSE,South West London,2022,7023,939894,702000,862013,635000,77881,67000,9.03,10.55,-4.33
Westminster,TRUE,North West London,2022,587,1974979,1084750,3032395,1300000,-1057416,-215250,-34.87,-16.56,-42.51
Westminster,TRUE,West London,2022,2185,2898791,1000000,1826730,750000,1072061,250000,58.69,33.33,375.00
Westminster,TRUE,South West London,2022,1021,3032395,1300000,11937653,1480000,-8905258,-180000,-74.60,-12.16,1660.34
Westminster,TRUE,West Central London,2022,58,11937653,1480000,2898791,1000000,9038862,480000,311.81,48.00,-97.35
Barnet,FALSE,North West London,2023,1769,755897,535200,775415,555000,-19518,-19800,-2.52,-3.57,-25.11
Barnet,FALSE,North London,2023,1478,908071,557750,755897,535200,152174,22550,20.13,4.21,-16.45
Bexley,FALSE,South East London,2023,256,439202,390000,390802,376000,48400,14000,12.38,3.72,-35.52
Brent,FALSE,North West London,2023,1158,747694,525000,982554,550000,-234860,-25000,-23.90,-4.55,-33.64
Bromley,FALSE,South East London,2023,332,433575,370000,430427,380000,3148,-10000,0.73,-2.63,-21.88
Camden,TRUE,North West London,2023,2256,1315963,775500,3763234,871375,-2447271,-95875,-65.03,-11.00,466.83
Camden,TRUE,North London,2023,111,1186019,1193100,1764776,950000,-578757,243100,-32.79,25.59,-71.68
Camden,TRUE,West Central London,2023,392,1764776,950000,1315963,775500,448813,174500,34.11,22.50,-82.62
City of London,TRUE,East Central London,2023,325,5534621,938422,3487013,916343,2047608,22079,58.72,2.41,-13.56
Croydon,FALSE,South East London,2023,966,431087,379750,430980,382500,107,-2750,0.02,-0.72,-18.34
Ealing,FALSE,West London,2023,2351,756322,550050,693103,570000,63219,-19950,9.12,-3.50,-21.21
